"country_other","totalcases","totaldeaths","totalrecovered","activecases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","totaltests","tests_1m_pop","population","1_caseevery_x_ppl","1_deathevery_x_ppl","1_testevery_x_ppl","active_cases_1m_pop","cfr","recovery_rate","active_case_rate","tests_per_case","pop_category","testing_category"
"Madagascar",68486,1426,66862,198,NA,2347,49,531329,18210,29178077,426,20461,55,7,2.0821773793184,97.6287124375785,0.289110183103116,7.75821335747452,"Large (10-100M)","Low Testing"
"Cabo Verde",64477,417,63755,305,23,113580,735,401622,707482,567678,9,1361,1,537,0.646742249174124,98.8802208539479,0.473036896877956,6.22891883927602,"Small (<1M)","Medium Testing"
"Sudan",63993,5046,58947,0,NA,1391,110,562941,12240,45992020,719,9115,82,NA,7.88523744784586,92.1147625521541,0,8.79691528760958,"Large (10-100M)","Low Testing"
"Mauritania",63848,997,62471,380,NA,13025,203,1009957,206030,4901981,77,4917,5,78,1.56152111264253,97.8433153740133,0.595163513344192,15.8181462222779,"Medium (1-10M)","Medium Testing"
"Bhutan",62697,21,61564,1112,NA,79571,27,2303734,2923739,787941,13,37521,0,1411,0.0334944255706015,98.1928959918337,1.77360958259566,36.7439271416495,"Small (<1M)","High Testing"
"Syria",57743,3165,54578,0,NA,2982,163,146269,7553,19364809,335,6118,132,NA,5.48118386644269,94.5188161335573,0,2.53310357965468,"Large (10-100M)","Low Testing"
"Burundi",54721,38,53569,1114,NA,4334,3,345742,27386,12624840,231,332233,37,88,0.0694431753805669,97.8947753147786,2.03578150984083,6.31826903748104,"Large (10-100M)","Low Testing"
"Seychelles",51220,172,51048,0,NA,515157,1730,NA,NA,99426,2,578,NA,NA,0.335806325654041,99.664193674346,0,NA,"Small (<1M)","Unknown"
"Gabon",49051,307,48674,70,NA,21038,132,1621909,695641,2331533,48,7595,1,30,0.625879186968665,99.2314122036248,0.142708609406536,33.0657682819922,"Medium (1-10M)","Medium Testing"
"Andorra",48015,165,NA,NA,NA,619844,2130,249838,3225256,77463,2,469,0,3705,0.343642611683849,NA,NA,5.20333229199209,"Small (<1M)","High Testing"
"Papua New Guinea",46864,670,46168,26,NA,5043,72,249149,26813,9292169,198,13869,37,3,1.42966882895186,98.5148514851485,0.0554796858996244,5.31642625469444,"Medium (1-10M)","Low Testing"
"Curaçao",45986,295,44720,971,3,277812,1782,496693,3000640,165529,4,561,0,5866,0.641499586830775,97.2469882138042,2.11151219936502,10.8009611620928,"Small (<1M)","High Testing"
"Aruba",44224,292,42438,1494,2,410969,2714,177885,1653068,107609,2,369,1,13884,0.66027496382055,95.9614688856729,3.37825615050651,4.02236342257598,"Small (<1M)","High Testing"
"Tanzania",43223,846,NA,NA,NA,683,13,NA,NA,63298550,1464,74821,NA,667,1.95729125696967,NA,NA,NA,"Large (10-100M)","Unknown"
"Mauritius",43025,1051,41278,696,NA,33752,824,358675,281374,1274727,30,1213,4,546,2.44276583381755,95.9395700174317,1.61766414875073,8.33643230679837,"Medium (1-10M)","Medium Testing"
"Mayotte",42027,188,NA,NA,NA,146815,657,176919,618038,286259,7,1523,2,135804,0.447331477383587,NA,NA,4.20965093868228,"Small (<1M)","Medium Testing"
"Togo",39572,290,39281,1,NA,4559,33,815204,93908,8680837,219,29934,11,0.1,0.732841403012231,99.264631557667,0.00252703932073183,20.6005256241787,"Medium (1-10M)","Low Testing"
"Guinea",38572,468,37757,347,NA,2782,34,660107,47607,13865691,359,29628,21,25,1.21331535829099,97.8870683397283,0.899616301980711,17.1136316499015,"Large (10-100M)","Low Testing"
"Bahamas",38084,844,36366,874,1,95087,2107,257839,643767,400516,11,475,2,2182,2.21615376536078,95.4889192311732,2.29492700346602,6.77027097993908,"Small (<1M)","Medium Testing"
"Isle of Man",38008,116,NA,NA,NA,443335,1353,150753,1758422,85732,2,739,1,129450,0.30519890549358,NA,NA,3.96634918964429,"Small (<1M)","High Testing"
"Lesotho",36138,723,25980,9435,NA,16610,332,431221,198199,2175699,60,3009,5,4337,2.00066412087,71.8910841773203,26.1082517018097,11.9326194033981,"Medium (1-10M)","Medium Testing"
"Haiti",34667,860,33734,73,NA,2968,74,132422,11337,11680283,337,13582,88,6,2.48074537744829,97.3086797242334,0.210574898318285,3.8198286554937,"Large (10-100M)","Low Testing"
"Faeroe Islands",34658,28,NA,NA,NA,703959,569,778000,15802409,49233,1,1758,0,547133,0.0807894281262623,NA,NA,22.4479196722257,"Small (<1M)","High Testing"
"Mali",33164,743,32332,89,NA,1544,35,804909,37483,21473764,648,28901,27,4,2.24038113617175,97.491255578338,0.268363285490291,24.2705644674949,"Large (10-100M)","Low Testing"
"Cayman Islands",31472,37,8553,22882,1,467797,550,222773,3311280,67277,2,1818,0,340116,0.117564819522115,27.1765378749365,72.7058973055414,7.07845068632435,"Small (<1M)","High Testing"
"Saint Lucia",30215,410,29805,0,NA,163225,2215,210983,1139752,185113,6,451,1,NA,1.35694191626675,98.6430580837333,0,6.98272381267582,"Small (<1M)","High Testing"
"Benin",28036,163,27847,26,NA,2193,13,604310,47268,12784726,456,78434,21,2,0.581395348837209,99.3258667427593,0.0927379084034812,21.5547867028107,"Large (10-100M)","Low Testing"
"Macao",27673,123,3487,24063,NA,41458,184,7850,11760,667490,24,5427,85,36050,0.444476565605464,12.6007299533842,86.9547934810104,0.283670003252268,"Small (<1M)","Low Testing"
"Somalia",27334,1361,13182,12791,NA,1623,81,400466,23778,16841795,616,12375,42,759,4.97914685007683,48.2256530328529,46.7952001170703,14.6508377844443,"Large (10-100M)","Low Testing"
"Micronesia",26547,65,NA,NA,NA,225953,553,82430,701598,117489,4,1808,1,162271,0.244848758805138,NA,NA,3.10505895204731,"Small (<1M)","Medium Testing"
"San Marino",26185,128,26011,46,NA,768226,3755,196855,5775414,34085,1,266,0,1350,0.488829482528165,99.3354974221883,0.175673095283559,7.51785373305327,"Small (<1M)","High Testing"
"Solomon Islands",25954,199,NA,NA,NA,35989,276,NA,NA,721159,28,3624,NA,13032,0.76674115743238,NA,NA,NA,"Small (<1M)","Unknown"
"Congo",25375,386,24006,983,NA,4377,67,347815,59991,5797805,228,15020,17,170,1.52118226600985,94.6049261083744,3.87389162561576,13.7069950738916,"Medium (1-10M)","Low Testing"
"Timor-Leste",23460,138,23102,220,NA,17131,101,278529,203391,1369429,58,9923,5,161,0.588235294117647,98.4739982949702,0.937766410912191,11.8725063938619,"Medium (1-10M)","Medium Testing"
"Burkina Faso",22114,400,21596,118,NA,1001,18,248995,11265,22102838,999,55257,89,5,1.80880889933978,97.657592475355,0.533598625305236,11.2596092972777,"Large (10-100M)","Low Testing"
"Liechtenstein",21574,94,NA,NA,NA,562013,2449,112457,2929559,38387,2,408,0,3334,0.435709650505238,NA,NA,5.21261703902846,"Small (<1M)","High Testing"
