"country_other","totalcases","totaldeaths","totalrecovered","activecases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","totaltests","tests_1m_pop","population","1_caseevery_x_ppl","1_deathevery_x_ppl","1_testevery_x_ppl","active_cases_1m_pop"
"Qatar",514524,690,513687,147,16,172664,232,4065369,1364257,2979915,6,4319,1,49
"Libya",507274,6437,500835,2,NA,72048,914,2483848,352782,7040745,14,1094,3,0.3
"Ethiopia",501157,7574,488171,5412,NA,4148,63,5565340,46066,120812698,241,15951,22,45
"Réunion",494595,921,NA,NA,NA,544672,1014,1603660,1766027,908061,2,986,1,82706
"Honduras",474590,11165,NA,NA,NA,46432,1092,1660662,162472,10221247,22,915,6,32372
"Armenia",451831,8777,435162,7892,NA,152031,2953,3242901,1091164,2971966,7,339,1,2655
"Bosnia and Herzegovina",403615,16388,379084,8143,NA,124215,5044,1884721,580036,3249317,8,198,2,2506
"Oman",399449,4628,NA,NA,NA,75028,869,2.5e+07,4695724,5323993,13,1150,0,1907
"Luxembourg",391232,1232,NA,NA,NA,609044,1918,4587145,7140959,642371,2,521,0,114124
"North Macedonia",350567,9976,337068,3523,NA,168436,4793,2226216,1069626,2081304,6,209,1,1693
"Zambia",349304,4069,341316,3919,NA,17940,209,4112961,211244,19470234,56,4785,5,201
"Kenya",344130,5689,337309,1132,NA,6122,101,3967062,70569,56215221,163,9881,14,20
"Brunei",343719,225,243601,99893,3,771655,505,717784,1611437,445431,1,1980,1,224261
"Albania",334863,3605,330233,1025,NA,116825,1258,1941032,677173,2866374,9,795,1,358
"Botswana",330638,2801,327049,788,1,135443,1147,2026898,830300,2441162,7,872,1,323
"Montenegro",296542,2846,291794,1902,NA,472238,4532,2769281,4410034,627950,2,221,0,3029
"Algeria",272010,6881,183061,82068,NA,5998,152,230960,5093,45350148,167,6591,196,1810
"Nigeria",267188,3155,259953,4080,11,1233,15,5708974,26339,216746934,811,68700,38,19
"Zimbabwe",266359,5740,258888,1731,12,17373,374,2525756,164744,15331428,58,2671,6,113
"Uzbekistan",253662,1637,241486,10539,23,7378,48,1377915,40077,34382084,136,21003,25,307
"Afghanistan",234174,7996,211080,15098,NA,5746,196,1390730,34125,40754388,174,5097,29,370
"Mozambique",233731,2250,228805,2676,11,7064,68,1371127,41437,33089461,142,14706,24,81
"Martinique",230354,1102,NA,NA,NA,615777,2946,828928,2215870,374087,2,339,0,612553
"Laos",218970,758,NA,NA,NA,29270,101,1233207,164845,7481023,34,9869,6,28145
"Iceland",209906,229,NA,NA,NA,607731,663,1996384,5780036,345393,2,1508,0,387941
"Kyrgyzstan",206897,2991,196406,7500,131,30750,445,1907195,283460,6728271,33,2250,4,1115
"Guadeloupe",203235,1021,NA,NA,NA,508349,2554,938039,2346306,399794,2,392,0,500168
"El Salvador",201855,4230,179410,18215,NA,30816,646,2610114,398467,6550389,32,1549,3,2781
"Trinidad and Tobago",191496,4390,187078,28,NA,136143,3121,913289,649295,1406585,7,320,2,20
"Maldives",186694,316,163687,22691,25,345100,584,2213831,4092223,540985,3,1712,0,41944
"Namibia",172389,4106,167099,1184,NA,65451,1559,1062663,403460,2633874,15,641,2,450
